"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size"
"1","Artiodactyla","Camelus dromedarius",492714.47,NA,196.32,0.98
"2","Carnivora","Canis adustus",10392.49,745.32,1.01,4.5
"3","Carnivora","Canis aureus",9658.7,827.53,2.95,3.74
"4","Carnivora","Canis latrans",11989.1,872.39,18.88,5.72
"5","Carnivora","Canis lupus",31756.51,1055,159.86,4.98
"6","Artiodactyla","Bos frontalis",800143.05,2700,NA,1.22
"7","Artiodactyla","Bos grunniens",5e+05,NA,NA,1
"8","Artiodactyla","Bos javanicus",635974.34,2075,NA,1.22
"9","Primates","Callicebus cupreus",1117.02,354.99,NA,1.01
"10","Primates","Callicebus discolor",NA,NA,NA,NA
"11","Primates","Callicebus donacophilus",897.67,NA,NA,1.02
"12","Primates","Callicebus dubius",992.4,NA,NA,1.02
"13","Primates","Callicebus hoffmannsi",1067.61,NA,NA,1.02
"14","Primates","Callicebus lucifer",NA,NA,NA,NA
"15","Primates","Callicebus lugens",NA,NA,NA,NA
"16","Primates","Callicebus medemi",NA,NA,NA,NA
"17","Primates","Callicebus melanochir",NA,NA,NA,NA
"18","Primates","Callicebus modestus",992.4,NA,NA,1.02
"19","Didelphimorphia","Caluromys derbianus",326.72,231,NA,3.14
"20","Didelphimorphia","Caluromys lanatus",350.33,273.3,NA,NA
"21","Didelphimorphia","Caluromys philander",246.47,224.27,0.009960363,4.18
"22","Didelphimorphia","Caluromysiops irrupta",257.48,234.52,NA,2
"23","Cingulata","Calyptophractus retusus",129.99,157.5,NA,NA
"24","Artiodactyla","Camelus bactrianus",554515.91,NA,NA,1.39
"25","Artiodactyla","Bos sauveli",791321.76,2175,NA,NA
"26","Artiodactyla","Bos taurus",618642.42,NA,10.04,NA
"27","Artiodactyla","Boselaphus tragocamelus",182253.04,2000,NA,1.39
"28","Rodentia","Brachiones przewalskii",NA,NA,NA,NA
"29","Carnivora","Canis mesomelas",8247.3,707.27,11.93,3.89
"30","Carnivora","Canis simensis",14361.86,938.19,4.2,NA
"31","Rodentia","Cannomys badius",472.07,NA,NA,2
"32","Rodentia","Cansumys canus",NA,NA,NA,NA
"33","Cetacea","Caperea marginata",31999999.98,NA,NA,0.98
"34","Artiodactyla","Capra caucasica",58149.52,NA,NA,1.09
"35","Artiodactyla","Capra falconeri",54303.37,1590,NA,1.73
"36","Artiodactyla","Capra hircus",47386.47,NA,98.3,1.45
"37","Artiodactyla","Capra ibex",69546.83,NA,NA,1.11
"38","Erinaceomorpha","Atelerix algirus",903.98,214.76,NA,2.5
"39","Erinaceomorpha","Atelerix frontalis",329.12,181.82,NA,4.99
"40","Erinaceomorpha","Atelerix sclateri",NA,129.99,NA,NA
"41","Primates","Ateles belzebuth",6692.42,459.3,2.28,1.02
"42","Primates","Ateles chamek",7053.92,454.28,1.16,NA
"43","Primates","Ateles fusciceps",9067.94,489.15,NA,1.01
