island,region,old_region,year,beekeepers,apiaries,hives,hives_beekeeper,apiary_beekeeper,type
North,Whangarei,Auckland,1945,1462,1598,16020,10.95759234,1.093023256,all
North,Hamilton,Hamilton,1945,848,1456,32865,38.75589623,1.716981132,all
North,PalmerstonNorth,Hastings,1945,859,1245,13331,15.51920838,1.449359721,all
North,PalmerstonNorth,PalmerstonNorth,1945,1258,1909,21394,17.0063593,1.517488076,all
South,Blenheim,Nelson,1945,447,547,6379,14.27069351,1.223713647,all
South,Canterbury,Christchurch,1945,729,1362,20714,28.41426612,1.868312757,all
South,Otago_Southland,Dunedin,1945,904,1328,18873,20.87721239,1.469026549,all
North,Whangarei,Auckland,1946,1608,1913,16648,10.35323383,1.189676617,all
North,Hamilton,Hamilton,1946,835,1575,34516,41.33652695,1.886227545,all
North,PalmerstonNorth,Hastings,1946,887,1356,15383,17.3427283,1.528748591,all
North,PalmerstonNorth,PalmerstonNorth,1946,1234,1985,23750,19.24635332,1.608589951,all
South,Blenheim,Nelson,1946,494,614,7040,14.25101215,1.24291498,all
South,Canterbury,Christchurch,1946,867,1665,2337,2.69550173,1.920415225,all
South,Otago_Southland,Dunedin,1946,873,1349,19987,22.89461627,1.545246277,all
North,Whangarei,Auckland,1950,1721,2212,23441,13.62056944,1.285299245,all
North,Hamilton,Hamilton,1950,615,1321,34684,56.39674797,2.14796748,all
North,Tauranga,Tauranga,1950,440,731,14459,32.86136364,1.661363636,all
North,PalmerstonNorth,Hastings,1950,846,1497,18517,21.88770686,1.769503546,all
North,PalmerstonNorth,Taranaki,1950,422,875,14421,34.17298578,2.073459716,all
North,PalmerstonNorth,PalmerstonNorth,1950,746,1266,13931,18.67426273,1.697050938,all
South,Blenheim,Nelson,1950,540,789,9877,18.29074074,1.461111111,all
South,Canterbury,Christchurch,1950,449,1399,20926,46.60579065,3.115812918,all
South,Otago_Southland,Oamaru,1950,404,1031,18174,44.98514851,2.551980198,all
South,Otago_Southland,Invercargill,1950,500,1000,15552,31.104,2,all
North,Whangarei,Auckland,1951,1700,2186,23404,13.76705882,1.285882353,all
North,Hamilton,Hamilton,1951,597,1303,33561,56.2160804,2.182579564,all
